codigo_cliente,nome_cliente,idade_cliente,email_cliente
1,Adalberto,28,adalberto@unibanco.com
2,"Ana Paula",20,ana.paula@unibanco.com.br
3,"Alexandre Pugles",22,alexandre.pugles@unibanco.com.br
4,Isabela,21,isabela@unibanco.com.br
5,"Daniel Wu",25,daniel.wu@unibanco.com.br
6,"Fleur X. Lowe",35,sapien@Duisa.co.uk
7,"Eliana Maldonado",22,eget.metus.eu@adipiscing.ca
8,"Arthur Jackson",82,magnis.dis@seddolorFusce.edu
9,"Libby Burke",20,Phasellus@tristique.com
10,"Rhona Jacobs",64,neque.tellus@dignissimMaecenas.net
11,"Lucian Y. Zamora",48,nisi@tellusfaucibus.net
12,"Kellie U. Phillips",36,malesuada.augue.ut@liberoMorbi.ca
13,"Slade O. Stafford",19,vestibulum.lorem@Seddictum.net
14,"Liberty I. Mann",91,odio.auctor.vitae@rhoncusProin.edu
15,"Elliott Mcdaniel",31,eleifend.egestas.Sed@odio.co.uk
16,"Sawyer P. Ward",98,libero.nec@ategestas.net
17,"Levi West",86,Aenean.eget.magna@morbitristiquesenectus.com
18,"Stacy Andrews",68,arcu.Vestibulum@cursusnon.net
19,"Leandra C. Bowers",99,eget.tincidunt.dui@MaurismagnaDuis.co.uk
20,"Philip M. Joseph",92,nulla.magna@dolorFusce.edu
21,"Alvin G. Burnett",59,dis.parturient@ligulaAenean.org
22,"Sydney Pruitt",36,Suspendisse.sed.dolor@ridiculus.ca
23,"Regan Shepherd",44,ipsum.sodales@tinciduntpede.edu
24,"Keely V. Poole",50,Nam@mollis.org
25,"Emerson A. Lowery",47,ligula@idrisus.edu
26,"Flavia Hewitt",36,ullamcorper@at.ca
27,"August Simon",48,mauris@penatibuset.edu
28,"Donovan N. Molina",35,Fusce.dolor@dolorQuisque.co.uk
29,"Damon U. Gonzales",66,ut@nislNulla.ca
30,"Susan Castillo",22,penatibus.et@dolor.co.uk
31,"Nigel M. Solis",55,magna.a.tortor@quispede.co.uk
32,"Bo Hart",78,risus.a@montesnascetur.net
33,"Ayanna B. Duke",47,pede@Quisque.co.uk
34,"Alika K. Dorsey",30,at@tempusscelerisquelorem.org
35,"Signe Travis",51,dolor@acmattisvelit.com
36,"Celeste Norman",65,facilisis.magna@gravidanunc.org
37,"Azalia Q. Anthony",77,dolor@ametrisus.co.uk
38,"Josiah U. Macias",26,Nam.interdum@Quisquevarius.co.uk
39,"Cade H. Cooke",36,lectus.Nullam@cursusdiam.org
40,"Graham Le",34,a@eteros.co.uk
41,"Leilani F. Luna",28,ultrices.mauris.ipsum@Sed.co.uk
42,"Willow Santana",22,odio.auctor.vitae@Crasdictumultricies.edu
43,"Keefe F. Charles",32,sapien@amifringilla.org
